CNPJ;RAZAO SOCIAL;ENDERECO;BAIRRO;CIDADE;ESTADO;PAIS;BANDEIRA;GASOLINA COMUM;GASOLINA ADITIVADA;ETANOL;DIESEL;GNV;LATITUDE;LONGITUDE;DATA COLETA
15.194.430/0001-69;FBX COMERCIO DE COMBUSTIVEIS LTDA - ME;AVENIDA WENCESLAU ESCOBAR, 2226;TRISTEZA;PORTO ALEGRE;RS;Brasil;IPIRANGA;4,80;4,76;4,06;3,50;3,15;-301.079.802;-512.550.824;2019-05-06
00.223.364/0001-30;ABASTECEDORA DE COMBUSTIVEIS ZONA SUL LTDA;AVENIDA CAVALHADA, 3696;CAVALHADA;PORTO ALEGRE;RS;Brasil;BRANCA;4,68;4,76;4,06;3,50;3,15;-301.080.866;-512.291.964;2019-05-06
00.729.543/0001-44 ;ROCHA E LENCINA COMERCIO DE COMBUSTIVEIS LTDA - ME;AVENIDA DR CARLOS BARBOSA, 150;AZENHA;PORTO ALEGRE;RS;Brasil;PETROBRAS;4,90;4,76;4,06;3,50;3,15;-300.572.142;-512.159.639;2019-05-06
01.047.775/0001-85;POSTO DE COMBUSTIVEIS NAVEGANTES LTDA;RUA VOLUNTARIOS DA PATRIA, 3698;NAVEGANTES;PORTO ALEGRE;RS;Brasil;IPIRANGA;4,80;4,76;4,06;3,50;3,15;-300.012.637;-512.090.458;2019-05-06
01.949.085/0001-11;ABASTECEDORA DE COMBUSTIVEIS RODEBENS LTDA;AVENIDA BENTO GONCALVES, 2599;PARTENON;PORTO ALEGRE;RS;Brasil;BRANCA;4,70;4,76;4,06;3,50;3,15;-300.450.723;-512.328.028;2019-05-06
02.077.276/0001-01;POSTO IAPI EIRELI;AVENIDA GENERAL EMILIO LUCIO ESTEVES, 47;SANTA MARIA GORETTI;PORTO ALEGRE;RS;Brasil;BRANCA;4,80;4,76;4,06;3,50;3,15;-300.080.583;-511.806.205;2019-05-06
02.308.408/0002-31;POSTO DE COMBUSTIVEIS DEA LTDA;RUA J. THADEO ONAR, 35;VILA IPIRANGA;PORTO ALEGRE;RS;Brasil;BRANCA;4,75;4,76;4,06;3,50;3,15;-30.021.116;-511.634.767;2019-05-06
02.583.872/0001-55;SANTA CLARA COMERCIO DE COMBUSTIVEIS LTDA - EPP;AVENIDA CORONEL MARCOS, 1140;PEDRA REDONDA;PORTO ALEGRE;RS;Brasil;IPIRANGA;4,79;4,76;4,06;3,50;3,15;-301.241.105;-51.247.432;2019-05-06
02.791.270/0001-93;POSTO TONATTO LTDA;AVENIDA CRISTOVAO COLOMBO, 2455;AUXILIADORA;PORTO ALEGRE;RS;Brasil;PETROBRAS;4,44;4,76;4,06;3,50;3,15;-300.179.473;-511.977.909;2019-05-06
02.963.142/0001-80;LUCIO RENE BENTZ & CIA. LTDA;ESTRADA DO VAREJAO, 244 0;BELEM NOVO;PORTO ALEGRE;RS;Brasil;PETROBRAS;4,90;4,76;4,06;3,50;3,15;-302.197.704;-511.004.443;2019-05-06
